Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
GPower (برنامج قوة جي) *,"** Free to use statistical software for performing power analyses. The user specifies the desired statistical test (e.g. t-test, regression, ANOVA), and three of the following: the number of groups/observations, effect size, significance level, or power, in order to calculate the unspecified aspect.  **",** Faul et al. (2007); Faul et al. (2009),** Filip Dechterenko,** Thomas Rhys Evans; Kai Krautter; Charlotte R. Pennington,** Ahlam Ahmed,"** Ali H. Al-Hoorie, Alaa M. Saleh, Mai Helmy, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** برنامج إحصائي مجاني لإجراء تحليلات القوة. يحدد المستخدم الاختبار الإحصائي المطلوب (مثل اختبار تي ، الانحدار، تحليل التباين (أنوفا)، وثلاثة مما يلي: عدد المجموعات/الملاحظات، أو حجم التأثير، أو مستوى الأهمية، أو القوة، من أجل حساب الجانب غير المحدد.  **المصطلحات ذات الصِّلة:** تحليل القوة، تبرير حجم العينة، تخطيط حجم العينة، القوة الإحصائيَّة.,** Power analysis; Sample size justification; Sample size planning; Statistical power,NA,NA,NA
Gaming (the system) (التَّلاعب بالنِّظام) *,"** Adopting questionable research practices (QRPs, e.g., salami slicing of an academic paper) that would align with academic incentive structures that benefit the academic (e.g. in prestige, hiring, or promotion) regardless of whether they support the process of scholarship. If systems rely on metrics to determine an outcome (e.g. academic credit) those metrics can be subject to intentional manipulation (Naudet et al., 2018\) or “gamed”. Where promotions, hiring, and tenure are based on flawed metrics they may disfavor openness, rigor, and transparent work (Naudet et al., 2018\) \- for example favoring “quantity over quality” \- and exacerbate existing inequalities.",NA,NA,"** Sarah Ashcroft-Jones; Helena Hartmann; Sam Parsons; Charlotte R. Pennington  **\[:ARABIC\] التَّعريف:** اتباع ممارسات بحثيَّة مشبوهة كالتَّجزئة غير المبررة لورقة أكاديميَّة) والتي من شأنها أن تتماشى مع  أنظمة الحوافز الأكاديميَّة التي تفيد الباحث، مثلًا: في المكانة، أو التَّوظيف، أو التَّرقية، بغض النَّظر عمَّا إذا كانت تدعم المعرفة.  إذا كانت الأنظمة تعتمد على المقاييس لتحديد نتيجة ما (مثل السُّمعة الأكاديميَّة)، فقد تتعرَّض هذه المقاييس للتَّلاعب المتعمَّد (Naudet et al., 2018). وعندما تستند التَّرقيات، والتَّوظيف، والتَّثبيت الوظيفي إلى مقاييس معيبة، فقد لا يحبذ البعض الانفتاح، والصَّرامة، والعمل الشَّفاف (Naudet et al., 2018\) \- وذلك كتفضيل ""البحوث الكميَّة على النوعية"" \- وتؤدي إلى تفاقم أوجه عدم المساواة القائمة.  **المصطلحات ذات الصِّلة**: هيكل الحوافز، معامل تأثير المجلَّة، قرصنة القيمة الاحتماليَّة.",** Ahlam Ahmed,"** Ali H. Al-Hoorie, Alaa M. Saleh, Hiba Alomary, Hala Alghamdi, Mai Helmy, Mohammed Mohsen","** Adopting questionable research practices (QRPs, e.g., salami slicing of an academic paper) that would align with academic incentive structures that benefit the academic (e.g. in prestige, hiring, or promotion) regardless of whether they support the process of scholarship. If systems rely on metrics to determine an outcome (e.g. academic credit) those metrics can be subject to intentional manipulation (Naudet et al., 2018\) or “gamed”. Where promotions, hiring, and tenure are based on flawed metrics they may disfavor openness, rigor, and transparent work (Naudet et al., 2018\) \- for example favoring “quantity over quality” \- and exacerbate existing inequalities.",** Incentive structure; Journal Impact Factor; *P*\-hacking,** Moher et al. (2018); Naudet et al. (2018),** Adrien Fillon,NA
Garden of Forking Paths (حديقة المسارات المتشعبة ) *,"** The typically-invisible decision tree traversed during operationalization and statistical analysis given that “there is a one-to-many mapping from scientific to statistical hypotheses” (Gelman & Loken, 2013, p. 6). In other words, even in absence of p-hacking or fishing expeditions and when the research hypothesis was posited ahead of time, there can be a plethora of statistical results that can appear to be supported by theory given data. “The problem is there can be a large number of potential comparisons when the details of data analysis are highly contingent on data, without the researcher having to perform any conscious procedure of fishing or examining multiple p-values” (Gelman & Loken, 2013, p. 1). The term aims to highlight the uncertainty ensuing from idiosyncratic analytical and statistical choices in mapping theory-to-test, and contrasting intentional (and unethical) questionable research practices (e.g. p-hacking and fishing expeditions) versus non-intentional research practices that can, potentially, have the same effect despite not having intent to corrupt their results. The garden of forking paths refers to the decisions during the scientific process that inflate the false-positive rate as a consequence of the potential paths which could have been taken (had other decisions been made). **",NA,NA,** Gisela H. Govaart; Matt Jaquiery; Tamara Kalandadze; Charlotte R. Pennington,** Ahlam Ahmed,"** Ali H. Al-Hoorie, Alaa M. Saleh, Mai Helmy, Hala Alghamdi, Mohammed Mohsen","التَّعريف:** شجرة اتخاذ القرار غير المرئيَّة التي يتم اجتيازها عادة أثناء التَّشغيل، والتَّحليل الإحصائي بالنَّظر إلى أن ""هناك طرق متعدِّدة للانتقال من الفرضيَّات العلميَّة إلى الفرضيَّات الإحصائيَّة"" (Gelman & Loken, 2013, p. 6). وبعبارة أخرى، حتى في حالة عدم وجود عمليَّات القرصنة للقيمة الاحتماليَّة، أو التَّصيُّد، وعندما يتم طرح فرضيَّة البحث مسبقًا، يمكن أن يكون هناك عدد كبير من النَّتائج الإحصائيَّة التي يمكن أن تبدو مدعومة بالبيانات النَّظريَّة المعطاة. ""تكمن المشكلة في أنَّه يمكن أن يكون هناك عدد كبير من المقارنات المحتملة عندما تكون تفاصيل التَّحليل معتمدة بشكل كبير على البيانات، دون أن يضطر الباحث إلى اتِّباع أي تصيُّد بشكل واع، أو فحص لقيم احتماليَّة متعدِّدة"" (Gelman & Loken, 2013, p. 1). يهدف المصطلح إلى تسليط الضَّوء على حالة عدم اليقين النَّاتجة عن الخيارات التَّحليليَّة والإحصائيَّة الشَّخصيَّة في الانتقال من النَّظريَّة لاختبارها، والتَّمييز بين الممارسات البحثيَّة المتعمدة (وغير الأخلاقيَّة) المشبوهة (مثل عمليات قرصنة القيمة الاحتماليَّة، والتَّصيُّد) وبين ممارسات البحث غير المقصودة التي من المحتمل أن يكون لها نفس التَّأثير على الرغم من عدم وجود نيّة لإفساد النَّتائج. تشير حديقة المسارات المتشعِّبة إلى القرارات أثناء العمليَّة العلميَّة التي تضخم معدَّل الإيجابيَّة الكاذبة كنتيجة للمسارات المحتملة التي كان من الممكن اتخاذها (في حالة اتخاذ قرارات أخرى). **المصطلحات ذات الصِّلة:** الإيجابيَّة الكاذبة، الخطأ العائلي، تحليل الأكوان المتعدِّدة، التَّسجيل المسبق، درجات حريَّة الباحث، تحليل منحنى المواصفات",** False-positive; Familywise error; Multiverse Analysis; Preregistration; Researcher degrees of freedom; Specification Curve Analysis,** Gelman and Loken (2013),** Flávio Azevedo; Mahmoud Elsherif,NA
General Data Protection Regulation (GDPR) (لائحة حماية البيانات العامَّة)*,"** A legal framework of seven principles implemented across the European Union (EU) that aims to safeguard individuals’ information. The framework seeks to commission citizens with control over their personal data, whilst regulating the parties involved in storing and processing these data. This set of legislation dictates the free movement of individuals’ personal information both within and outside the EU and must be considered by researchers when designing and running studies.  **",** Crutzen et al. (2019); [https://ico.org.uk/for-organisations/guide-to-data-protection/guide-to-the-general-data-protection-regulation-gdpr/](https://ico.org.uk/for-organisations/guide-to-data-protection/guide-to-the-general-data-protection-regulation-gdpr/); [https://ec.europa.eu/info/law/law-topic/data-protection\_en](https://ec.europa.eu/info/law/law-topic/data-protection_en),** Graham Reid,** Elizabeth Collins; Mahmoud Elsherif; Christopher Graham; Sam Parsons,** Sarah Almutairi,"** Ali H. Al-Hoorie, Alaa M. Saleh, Hala Alghamdi, Mai Helmy, Mohammed Mohsen",التَّعريف:** إطار عمل قانوني مٌطبق في الاتحاد الأوروبيّ، ويتضمَّن سبعة مبادئ هدفها حماية بيانات الأفراد.  يسعى هذا الإطار إلى تمكين الأفراد من التحَّكم ببياناتهم الشَّخصيَّة وتنظيم عمل الجهات التي تعمل في مجال تحليل وحفظ هذه البيانات. كما تضبط هذه التَّشريعات حريَّة نقل البيانات الشَّخصيَّة للأفراد داخل وخارج الاتحاد الأوروبي والتي يجب على الباحثين الالتزام بها عند تصميم وإجراء الدِّراسات. **المصطلحات ذات الصِّلة:** التّعمية ، خِطة إدارة البيانات، مشاركة البيانات، التكرار، قابليَّة التِّكرار، ،قابلية إعادة الإنتاج.,** Anonymity; Data Management Plan (DMP); Data sharing; Repeatability; Replicability; Reproducibility,NA,NA,NA
Generalizability (القابليَّة للتَّعميم ) *,"** Generalizability refers to how applicable a study’s results are to broader groups of people, settings, or situations they study and how the findings relate to this wider context (Frey, 2018; Kukull & Ganguli, 2012).  **",NA,NA,** Adrien Fillon; Matt Jaquiery; Tina Lonsdorf; Sam Parsons; Julia Wolska,** Sarah Almutairi,"** Ali H. Al-Hoorie, Alaa M. Saleh, Ahlam Ahmed, Hala Alghamdi, Mohammed Mohsen","التَّعريف:** هي القدرة على تعميم نتائج دراسة معيّنة على عدد أكبر من المجموعات، أو الظروف، أو المواقف مقارنة بتلك التي شملتها الدِّراسة، وكذلك كيفيَّة ربط هذه النَّتائج بسياق أوسع (Frey, 2018; Kukull & Ganguli, 2012).  **المصطلحات ذات الصِّلة**: التِّكرار المفاهيمي، الصِّدق الخارجي، جمع العيّنات الانتهازي، تحيُّز اختيار العَينة، وِيرد (WEIRD).  **تعريف بديل:** استخدام المواد المعدَّلة، أو تطبيق سلسلة تحليلات لبيانات وعيّنات جديدة  لدراسة الفرضيَّة ذاتها (بمواد مختلفة، بيانات مختلفة) لاختبار مدى قابليَّة تعميم النَّتائج تحت الدِّراسة (The Turing Way Community & Scriberia, 2021).  المصطلحات ذات الصِّلة للتَّعريف البديل: التِّكرار المفاهيميّ.","** Conceptual replication; External Validity; Opportunistic sampling; Sampling bias; WEIRD **Alternative definition:** Applying modified materials and/or analysis pipelines to new data or samples to answer the same hypothesis (different materials, different data) to test how generalizable the effect under study is (The Turing Way Community & Scriberia, 2021). **Related terms to alternative definition:** (if applicable): Conceptual Replication",** Esterling et al. (2021); Frey (2018); Kukull and Ganguli (2012); LeBel et al. (2017); Nosek and Errington (2020); Yarkoni (2020),** Aoife O’Mahony,NA
Gift (or Guest) Authorship (التَّأليف المُهدى (أو المؤلف الضّيف) ) *,"** A software package for tracking changes in a local set of files (local version control), initially developed by Linus Torvalds. In general, it is used by programmers to track and develop computer source code within a set directory, folder or a file system. Git can access remote repository hosting services (e.g. GitHub) for remote version control that enables collaborative software development by uploading contributions from a local system. This process found its way into the scientific process to enable open data, open code and reproducible analyses.  **",** Kalliamvakov et al. (2014); Scopatz and Huff (2015); Vuorre and Curley (2018); [https://github.com/git/git/commit/e83c5163316f89bfbde7d9ab23ca2e25604af290](https://github.com/git/git/commit/e83c5163316f89bfbde7d9ab23ca2e25604af290),** Emma Norris,** Adrien Fillon; Bettina M.J. Kern; Dominik Kiersz; Robert M. Ross,** Asma Alzahrani,"** Ali H. Al-Hoorie, Alaa M. Saleh, Hiba Alomary, Ahlam Ahmed, Mohammed Mohsen",التَّعريف:** هي حزمة برامج لتتبع التَّغييرات في مجموعة محليَّة من الملفات (التَّحكُّم في الإصدار المحليّ)، طورها في البداية لينوس تورفالدس. وبشكل عام يستخدمه المبرمجون لتتبع وتطوير النُّصوص البرمجيَّة داخل دليل، أو مجلَّد، أو نظام ملفات.  يمكن للمتتبِّع الدُّولي العالميّ الوصول (Git) إلى خدمات استضافة المستودعات عن بُعد (مثل GitHub) للتّحكم في الإصدار عن بُعد الذي يتيح تطوير البرامج التَّعاونيَّة عن طريق تحميل المساهمات من نظام محلي. وجدت هذه العمليَّة طريقها إلى العمليَّة العلميَّة لتمكين البيانات المفتوحة، والنُّصوص البرمجيَّة المفتوحة، والتَّحليلات القابلة للتِّكرار. **المصطلحات ذات الصِّلة:**  Github،مستودع البيانات، التحكم في الإصدار.,** GitHub; Repository; Version control,NA,NA,NA
Goodhart’s Law (قانون قودهارت) *,"** A term coined by economist Charles Goodhart to refer to the observation that measuring something inherently changes user behaviour. In relation to examination performance, Strathern (1997) stated that “when a measure becomes a target, it ceases to be a good measure” (p. 308). Applied to open scholarship, and the structure of incentives in academia, Goodhart’s Law would predict that metrics of scientific evaluation will likely be abused and exploited, as evidenced by Muller (2019).  **",NA,** Adam Parker,Sam Parsons; Flávio Azevedo,** Awatif Alruwaili,"** Hiba Alomary, Asma Alzahrani, Ali H. Al-Hoorie, Alaa M. Saleh, Mohammed Mohsen   ###  ### **H** {#h}","التَّعريف:** مصطلح صاغه خبير الاقتصاد تشارلز قودهارت للإشارة إلى أنَّ قياس شيء ما يؤدي بطبيعته إلى تغيُّر سلوك المستخدِّم. فعندما يتعلَّق الأمر بتقييم الأداء ""عندما يصبح المقياس هو الهدف فإنه يتوقَّف عن كونه مقياسًا جيِّدًا"" (Strathern, 1997, p. 308). عند تطبيقه على العلم المفتوح وهيكل الحوافز في الأوساط الأكاديميَّة، يتنبأ قانون قودهارت بأنَّه من المرجَّح أن يتم إساءة استخدام مقاييس التَّقييم العلمي واستغلاله (Muller, 2019).  المصطلحات ذات الصِّلة: قانون كامبل، إعلان سان فرانسيسكو بشأن تقييم البحوث، التَّجسيد (المغالطة).",Campbell's law; DORA; Reification (fallacy) **Reference (s):** Muller (2019); Strathern (1997),NA,NA,NA
H-index (مؤشر إتش) *,"** Hirsch’s index, abbreviated as H-index, intends to measure both productivity and research impact by combining the number of publications and the number of citations to these publications. Hirsch (2005) defined the index as “the number of papers with citation number ≥ *h*” (p. 16569). That is, the greatest number such that an author (or journal) has published at least that many papers that have been cited at least that many times. The index is perceived as a superior measure to measures that only assess, for instance, the number of citations and number of publications but this index has been criticised for the purpose of researcher assessment (e.g. Wendl, 2007).  **",NA,NA,** Bradley J. Baker; Mahmoud M. Elsherif; Brett J. Gall; Charlotte R. Pennington,** Awatif Alruwaili,"** Hiba Alomary, Asma Alzahrani, Ali H. Al-Hoorie, Alaa M. Saleh, Hala Alghamdi, Mohammed Mohsen","التَّعريف:** يهدف مؤشر هيرش (ويختصر اسمه بمؤشر إتش) إلى قياس كل من الإنتاجيَّة وتأثير البحث من خلال الجمع بين عدد المنشورات، وعدد الاستشهادات لهذه المنشورات. يعرّف هذا المؤشر بأنَّه: عدد الأوراق التي تحمل عدد استشهادات ≥ إتش"" (Hirsch, 2005, p. 16569). وهذا يعني أكبر عدد من المنشورات لمؤلف، أو لمجلة تم الاستشهاد بها على الأقل نفس العدد من المرات.  يتفوَّق هذا المؤشر على المقاييس التي تقيم فقط، على سبيل المثال، عدد الاستشهادات وعدد المنشورات ولكن تم انتقاده عندما يستخدم في تقييم باحث ما (مثلًا Wendl, 2007).  **المصطلحات ذات الصِّلة:** الاستشهاد، إعلان سان فرانسيسكو بشأن تقييم البحوث، مؤشر i10، التَّأثير.",** Citation; DORA; I10-index; Impact,** Hirsch (2005); Wendl (2007),** Jacob Miranda,NA
Hackathon (هاكثون) *,"** An organized event where experts, designers, or researchers collaborate for a relatively short amount of time to work intensively on a project or problem. The term is originally borrowed from computer programmer and software development events whose goal is to create a fully fledged product (resources, research, software, hardware) by the end of the event, which can last several hours to several days.  **",** Kienzler and Fontanesi (2017),** Flávio Azevedo,** Tsvetomira Dumbalska; Brett J. Gall; Emma Norris,** Zainab Alsuhaibani,"** Hiba Alomary, Asma Alzahrani, Ali H. Al-Hoorie, Alaa M. Saleh, Hala Alghamdi, Mohammed Mohsen",التَّعريف**: هو حدث منظَّم يتعاون فيه الخبراء، أو المصمِّمون، أو الباحثون لفترة زمنيَّة قصيرة نسبيًا للعمل بشكل مكثَّف على مشروع، أو مشكلة ما.  تم استعارة هذا المصطلح في الأصل من برمجة الحاسب ومسابقات تطوير البرامج التي تهدف إلى الوصول لمنتج كامل (مثل موارد، بحث، برنامج، جهاز) بحلول نهاية المسابقة، والتي يمكن أن تستمر من عدَّة ساعات إلى عدَّة أيام. **المصطلحات ذات الصِّلة:** التَّعاون؛ إديهاتون,** Collaboration; Edithaton,NA,NA,NA
HARKing (الافتراض بعد معرفة النَّتائج) *,"** A questionable research practice termed ‘Hypothesizing After the Results are Known’ (HARKing). “HARKing is defined as presenting a post hoc hypothesis (i.e., one based on or informed by one's results) in a research report as if it was, in fact, *a priori*” (Kerr, 1998, p. 196). For example, performing subgroup analyses, finding an effect in one subgroup, and writing the introduction with a ‘hypothesis’ that matches these results. **",Hitchcock and Sober (2014),NA,** Matt Jaquiery; Charlotte R. Pennington; Martin Vasilev; Flávio Azevedo,** Awatif Alruwaili,"** Asma Alzahrani, Ali H. Al-Hoorie, Mai Helmy, Alaa M. Saleh, Hala Alghamdi, Mohammed Mohsen","التَّعريف:** ممارسة بحثيَّة مشبوهة ""تعرّف بتقديم فرضيَّة لاحقة (أي فرضيَّة مبنيَّة على النَّتائج، أو مستنيرة بها) في تقرير بحثي كما لو كانت في الواقع بديهية"" (Kerr, 1998, p. 196). مثال ذلك إجراء تحليلات لمجموعات فرعيَّة، وإيجاد تأثير في مجموعة فرعيَّة واحدة، وكتابة المقدمة مع ""فرضيّة"" تطابق هذه النَّتائج. **المصطلح البديل:** الافتراض التكيفي **المصطلحات ذات الصِّلة:**  المرونة التحليليَّة، النَّقد بعد معرفة النَّتائج، التحليلات التوكيديَّة، تحليل البيانات الاستكشافي، التَّنصُّل، حديقة المسارات المتشعِّبة، قرصنة القيمة الاحتماليَّة، التَّسجيل بعد معرفة النَّتائج، ممارسات البحث المشكوك فيها أو ممارسات إعداد التقارير المشكوك فيها، تخطيط حجم العيِّنة بعد معرفة النَّتائج. **Alternative terms**: accommodational hypothesizing",** Analytic Flexibility; CARKing; Confirmatory analyses; Exploratory data analysis; Fudging; Garden of forking paths; P-hacking; PARKing; Questionable Research Practices or Questionable Reporting Practices (QRPs); SPARKing,** Kerr (1998); Nosek and Lakens (2014),** Beatrix Arendt,NA
