Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translation,Related_terms,Drafted by,Originally Drafted by,trans_title
Abstract Bias ," The tendency to report only significant results in the abstract, while reporting non-significant results within the main body of the manuscript (not reporting non-significant results altogether would constitute selective reporting). The consequence of abstract bias is that studies reporting non-significant results may not be captured with standard meta-analytic search procedures (which rely on information in the title, abstract and keywords) and thus biasing the results of meta-analyses.", \[@DuyxEtAl2019\], Ali H. Al-Hoorie,Mahmoud Elsherif; Bethan Iley; Sam Parsons; Gerald Vineyard; Eliza Woodward; Flávio Azevedo," The tendency to report only significant results in the abstract, while reporting non-significant results within the main body of the manuscript (not reporting non-significant results altogether would constitute selective reporting). The consequence of abstract bias is that studies reporting non-significant results may not be captured with standard meta-analytic search procedures (which rely on information in the title, abstract and keywords) and thus biasing the results of meta-analyses.", Cherry-picking; Publication bias (File Drawer Problem); Selective reporting,NA,NA,NA
Academic Impact ," The contribution that a research output (e.g., published manuscript) makes in shifting understanding and advancing scientific theory, method, and application, across and within disciplines. Impact can also refer to the degree to which an output or research programme influences change outside of academia, e.g. societal and economic impact (cf. ESRC: https://esrc.ukri.org/research/impact-toolkit/what-is-impact/).", \[@AnonImpact2021\],NA, Myriam A. Baum; Adam Parker; Charlotte R. Pennington; Suzanne L. K. Stewart; Flávio Azevedo," The contribution that a research output (e.g., published manuscript) makes in shifting understanding and advancing scientific theory, method, and application, across and within disciplines. Impact can also refer to the degree to which an output or research programme influences change outside of academia, e.g. societal and economic impact (cf. ESRC: https://esrc.ukri.org/research/impact-toolkit/what-is-impact/).", Beneficiaries; DORA; Reach; REF, Connor Keating,NA,NA
Accessibility ," Accessibility refers to the ease of access and re-use of materials (e.g., data, code, outputs, publications) for academic purposes, particularly the ease of access is afforded to people with a chronic illness, disability and/or neurodivergence. These groups face numerous financial, legal and/or technical barriers within research, including (but not limited to) the acquisition of appropriately formatted materials and physical access to spaces. Accessibility also encompasses structural concerns about diversity, equity, inclusion, and representation (Pownall et al., 2021). Interfaces, events and spaces should be designed with accessibility in mind to ensure full participation, such as by ensuring that web-based images are colorblind friendly and have alternative text, or by using live captions at events (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021)."," \[@BrownThompsonLeigh2018\], \[@PolletBond2021\], Pownall et al. (2021), \[@Suber2004\], \[@World\_Wide\_Web\_Consortium2021\], \[@Pownall2021\]",NA, Valeria Agostini; Myriam A. Baum; Mahmoud Elsherif; Bethan Iley; Tamara Kalandadze; Ryan Millager; Sara Middleton; Charlotte R. Pennington; Madeleine Pownall; Robert M. Ross; Flávio Azevedo," Accessibility refers to the ease of access and re-use of materials (e.g., data, code, outputs, publications) for academic purposes, particularly the ease of access is afforded to people with a chronic illness, disability and/or neurodivergence. These groups face numerous financial, legal and/or technical barriers within research, including (but not limited to) the acquisition of appropriately formatted materials and physical access to spaces. Accessibility also encompasses structural concerns about diversity, equity, inclusion, and representation (Pownall et al., 2021). Interfaces, events and spaces should be designed with accessibility in mind to ensure full participation, such as by ensuring that web-based images are colorblind friendly and have alternative text, or by using live captions at events (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021).", Availability; Data availability statements; Inclusion; Open Access; Under-representation; Universal design for learning (UDL), Kai Krautter,NA,NA
Ad hominem bias ," From Latin meaning “to the person”; Judgment of an argument or piece of work influenced by the characteristics of the person who forwarded it, not the characteristics of the argument itself. Ad hominem bias can be negative, as when work from a competitor or target of personal animosity is viewed more critically than the quality of the work merits, or positive, as when work from a friend benefits from overly favorable evaluation."," \[@BarnesEtAl2018\], \[@Tvina2019\]",NA, Bradley Baker; Filip Dechterenko; Bethan Iley; Madeleine Ingham; Graham Reid," From Latin meaning “to the person”; Judgment of an argument or piece of work influenced by the characteristics of the person who forwarded it, not the characteristics of the argument itself. Ad hominem bias can be negative, as when work from a competitor or target of personal animosity is viewed more critically than the quality of the work merits, or positive, as when work from a friend benefits from overly favorable evaluation.", Peer review, Mahmoud Elsherif,NA,NA
Adversarial collaboration , A collaboration where two or more researchers with opposing or contradictory theoretical views —and likely diverging predictions about study results— work together on one project. The aim is to minimise biases and methodological weaknesses as well as to establish a shared base of facts for which competing theories must account.,"  \[@BatemanEtAl2005\], \[@Cowan2020\], \[@Kerr2018\], \[@Mellers2001\], \[@Rakow2014\]",NA, Matt Jaquiery; Aoife O’Mahony; Charlotte R. Pennington; Flávio Azevedo; Madeleine Pownall**;** Martin Vasilev, A collaboration where two or more researchers with opposing or contradictory theoretical views —and likely diverging predictions about study results— work together on one project. The aim is to minimise biases and methodological weaknesses as well as to establish a shared base of facts for which competing theories must account., Collaboration; Many Analysts; Many Labs; Preregistration; Publication bias (File Drawer Problem), Siu Kit Yeung,NA,NA
Adversarial (collaborative) commentary ," A commentary in which the original authors of a work and critics of said work collaborate to draft a consensus statement. The aim is to draft a commentary that is free of ad hominem attacks and communicates a common understanding or at least identifies where both parties agree and disagree. In doing so, it provides a clear take-home message and path forward, rather than leaving the reader to decide between opposing views conveyed in separate commentaries."," \[@Heyman2020\], \[@Rabagliati2019\], \[@Silberzahn2014\]",NA, Mahmoud Elsherif; Sam Parsons; Emma Henderson; Michele C. Lim; Flávio Azevedo," A commentary in which the original authors of a work and critics of said work collaborate to draft a consensus statement. The aim is to draft a commentary that is free of ad hominem attacks and communicates a common understanding or at least identifies where both parties agree and disagree. In doing so, it provides a clear take-home message and path forward, rather than leaving the reader to decide between opposing views conveyed in separate commentaries.", Adversarial collaboration; Collaborative commentary, Steven Verheyen,NA,collaborative
Affiliation bias ," This bias occurs when one’s opinions or judgements about the quality of research are influenced by the affiliation of the author(s). When publishing manuscripts, a potential example of an affiliation bias could be when editors prefer to publish work from prestigious institutions (Tvina et al., 2019).", \[@Tvina2019\],NA, Christopher Graham; Madeleine Ingham; Adam Parker; Graham Reid," This bias occurs when one’s opinions or judgements about the quality of research are influenced by the affiliation of the author(s). When publishing manuscripts, a potential example of an affiliation bias could be when editors prefer to publish work from prestigious institutions (Tvina et al., 2019).", Peer review, Mahmoud Elsherif,NA,NA
Aleatoric uncertainty ," Variability in outcomes due to unknowable or inherently random factors. The stochastic component of outcome uncertainty that cannot be reduced through additional sources of information. For example, when flipping a coin, uncertainty about whether it will land on heads or tails.", \[@DerKiureghianDitlevsen2009\],NA, Nihan Albayrak-Aydemir**;** Brett Gall; Magdalena Grose-Hodge; Bethan Iley; Charlotte R. Pennington," Variability in outcomes due to unknowable or inherently random factors. The stochastic component of outcome uncertainty that cannot be reduced through additional sources of information. For example, when flipping a coin, uncertainty about whether it will land on heads or tails.", Epistemic uncertainty; Knightian uncertainty, Bradley Baker,NA,NA
Altmetrics ," Departing from traditional citation measures, altmetrics (short for “alternative metrics”) provide an assessment of the attention and broader impact of research work based on diverse sources such as social media (e.g. Twitter), digital news media, number of preprint downloads, etc. Altmetrics have been criticized in that sensational claims usually receive more attention than serious research (Ali, 2021).","  \[@Ali2021\], \[@GalliganDyasCorreia2013\]", Mirela Zaneva, Ali H. Al-Hoorie; Charlotte R. Pennington; Birgit Schmidt; Flávio Azevedo  ### ---," Departing from traditional citation measures, altmetrics (short for “alternative metrics”) provide an assessment of the attention and broader impact of research work based on diverse sources such as social media (e.g. Twitter), digital news media, number of preprint downloads, etc. Altmetrics have been criticized in that sensational claims usually receive more attention than serious research (Ali, 2021).", Academic impact; Alternative metrics; Bibliometrics; H-index; Impact assessment; Journal impact factor,NA,NA,NA
AMNESIA ," AMNESIA is a free anonymization tool to remove identifying information from data. After uploading a dataset that contains personal data, the original dataset is transformed by the tool, resulting in a dataset that is anonymized regarding personal and sensitive data.",  \[@OpenAire\_Amnesia\], Norbert Vanek, Ali H. Al-Hoorie; Myriam A. Baum; Charlotte R. Pennington," AMNESIA is a free anonymization tool to remove identifying information from data. After uploading a dataset that contains personal data, the original dataset is transformed by the tool, resulting in a dataset that is anonymized regarding personal and sensitive data.", Anonymity; Confidentiality; Research ethics,NA,NA,NA
