Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
Abstract Bias (Abstract-Verzerrung) *,"** The tendency to report only significant results in the abstract, while reporting non-significant results within the main body of the manuscript (not reporting non-significant results altogether would constitute selective reporting). The consequence of abstract bias is that studies reporting non-significant results may not be captured with standard meta-analytic search procedures (which rely on information in the title, abstract and keywords) and thus biasing the results of meta-analyses.",** Duyx et al. (2019),** Ali H. Al-Hoorie,Mahmoud Elsherif; Bethan Iley; Sam Parsons; Gerald Vineyard; Eliza Woodward; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Die Tendenz, nur signifikante Ergebnisse in der Zusammenfassung (Abstract) zu berichten, obwohl nicht-signifikante Ergebnisse im Hauptteil des Manuskripts berichtet werden (die nicht-signifikanten Ergebnisse gar nicht zu berichten wäre selektives Berichten (selective reporting)). Die Folge von Abstract Verzerrung ist, dass Studien mit nicht-signifikanten Ergebnissen möglicherweise durch übliche Suchstrategien für Metaanalysen (die auf Informationen in Titel, Abstract und Keywords beruhen) nicht gefunden werden und damit die Ergebnisse von Metaanalysen verfälscht (biased) werden.",** Cherry-picking; Publication bias (File Drawer Problem); Selective reporting,NA,NA,NA
Academic Impact (Akademischer Einfluss) *,"** The contribution that a research output (e.g., published manuscript) makes in shifting understanding and advancing scientific theory, method, and application, across and within disciplines. Impact can also refer to the degree to which an output or research programme influences change outside of academia, e.g. societal and economic impact (cf. ESRC: [https://esrc.ukri.org/research/impact-toolkit/what-is-impact/](https://esrc.ukri.org/research/impact-toolkit/what-is-impact/)).",NA,NA,** Myriam A. Baum; Adam Parker; Charlotte R. Pennington; Suzanne L. K. Stewart; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Den Einfluss, den ein Forschungsergebnis (z. B. ein publizierter Artikel) auf unser Verstehen von wissenschaftliche Theorien, Methoden und Anwendungen hat, und wie weit es dieses Verstehen vorantreibt, sowohl innerhalb von Disziplinen als auch disziplinübergreifend. Einfluss kann auch den Grad meinen, zu dem ein Forschungsergebnis oder ein Forschungsprogramm Veränderungen außerhalb der Wissenschaft beeinflusst, z. B. soziale oder wirtschaftliche Auswirkung (cf. ESRC: [https://esrc.ukri.org/research/impact-toolkit/what-is-impact/](https://esrc.ukri.org/research/impact-toolkit/what-is-impact/)).",** Beneficiaries; DORA; Reach; REF,** Anon (2021),** Connor Keating,NA
Accessibility (Barrierefreiheit)  *,"** Accessibility refers to the ease of access and re-use of materials (e.g., data, code, outputs, publications) for academic purposes, particularly the ease of access is afforded to people with a chronic illness, disability and/or neurodivergence. These groups face numerous financial, legal and/or technical barriers within research, including (but not limited to) the acquisition of appropriately formatted materials and physical access to spaces. Accessibility also encompasses structural concerns about diversity, equity, inclusion, and representation (Pownall et al., 2021). Interfaces, events and spaces should be designed with accessibility in mind to ensure full participation, such as by ensuring that web-based images are colorblind friendly and have alternative text, or by using live captions at events (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021).",NA,NA,** Valeria Agostini; Myriam A. Baum; Mahmoud Elsherif; Bethan Iley; Tamara Kalandadze; Ryan Millager; Sara Middleton; Charlotte R. Pennington; Madeleine Pownall; Robert M. Ross; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey  ####","Barrierefreiheit (Accessibility) bezieht sich auf den einfachen Zugriff auf und die Wiederverwendung von Materialien (z. B. Daten, Code, Ergebnisse, Veröffentlichungen) für akademische Zwecke, wobei insbesondere Menschen mit einer chronischen Krankheit, einer Behinderung und/oder Neurodivergenz der Zugang erleichtert wird. Diese Gruppen sind mit zahlreichen finanziellen, rechtlichen und/oder technischen Hindernissen in der Forschung konfrontiert, einschließlich (aber nicht beschränkt auf) dem Erwerb von angemessen formatierten Materialien und dem physischen Zugang zu Räumen. Accessibility umfasst auch strukturelle Anliegen wie Diversität, Gleichberechtigung, Inklusion und Repräsentation (Pownall et al., 2021). Bei der Gestaltung von Benutzer:innenoberflächen, Veranstaltungen und Räumen sollte auf Barrierefreiheit geachtet werden, um eine uneingeschränkte Teilnahme zu gewährleisten. Beispielsweise kann sichergestellt werden, dass webbasierte Bilder erkennbar für farbenblinde Menschen sind und über Bildbeschreibungen verfügen, oder indem bei Veranstaltungen Live-Untertitel eingeblendet werden (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021).",** Availability; Data availability statements; Inclusion; Open Access; Under-representation; Universal design for learning (UDL),** Brown et al. (2018); Pollet and Bond (2021); Pownall et al. (2021); Suber (2004); World Wide Web Consortium (2021),** Kai Krautter,NA
Ad hominem bias (Ad hominem Verzerrung) *,"** From Latin meaning “to the person”; Judgment of an argument or piece of work influenced by the characteristics of the person who forwarded it, not the characteristics of the argument itself. Ad hominem bias can be negative, as when work from a competitor or target of personal animosity is viewed more critically than the quality of the work merits, or positive, as when work from a friend benefits from overly favorable evaluation.",NA,NA,** Bradley Baker; Filip Dechterenko; Bethan Iley; Madeleine Ingham; Graham Reid,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Aus dem Lateinischen “zum Menschen hin”; Bewertung eines Arguments oder einer Arbeit in Abhängigkeit von Merkmalen der Person, die diese hervorgebracht hat, und nicht von Merkmalen des Arguments selbst. Ad hominem Verzerrung (bias) kann negativ sein, z. B. wenn Arbeit eine:r Konkurrent:in oder einer Zielperson persönlicher Anfeindungen kritischer betrachtet wird als die Qualität der Arbeit dieser Person verdient, aber auch positiv, z. B. wenn Arbeit eine:r Freund:in von übertrieben positiver Bewertung profitiert.",** Peer review,** Barnes et al. (2018); Tvina et al. (2019),** Mahmoud Elsherif,NA
Adversarial collaboration (Gegnerische Kollaboration) *,** A collaboration where two or more researchers with opposing or contradictory theoretical views —and likely diverging predictions about study results— work together on one project. The aim is to minimise biases and methodological weaknesses as well as to establish a shared base of facts for which competing theories must account.,NA,NA,** Matt Jaquiery; Aoife O’Mahony; Charlotte R. Pennington; Flávio Azevedo; Madeleine Pownall**;** Martin Vasilev,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Eine Kollaboration, bei der zwei oder mehr Forschende mit gegensätzlichen oder widersprüchlichen theoretischen Ansichten \- und wahrscheinlich unterschiedlichen Vorhersagen über die Ergebnisse einer Studie \- an einem Projekt zusammenarbeiten. Das Ziel ist, Verzerrung (bias) und methodische Schwächen zu minimieren und eine gemeinsame Basis an Fakten zu erarbeiten, die von gegensätzlichen Theorien berücksichtigt werden muss.",** Collaboration; Many Analysts; Many Labs; Preregistration; Publication bias (File Drawer Problem),** Bateman et al. (2005); Cowan et al. (2020); Kerr et al. (2018); Mellers et al. (2001); Rakow et al. (2014),** Siu Kit Yeung,NA
Adversarial (collaborative) commentary (Gegnerischer (kollaborativer) Kommentar) *,"** A commentary in which the original authors of a work and critics of said work collaborate to draft a consensus statement. The aim is to draft a commentary that is free of ad hominem attacks and communicates a common understanding or at least identifies where both parties agree and disagree. In doing so, it provides a clear take-home message and path forward, rather than leaving the reader to decide between opposing views conveyed in separate commentaries.",NA,NA,** Mahmoud Elsherif; Sam Parsons; Emma Henderson; Michele C. Lim; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Ein Kommentar, bei dem die ursprünglichen Autor:innen eines Werks und die Kritiker:innen dieses Werks zusammenarbeiten, um eine Konsenserklärung zu verfassen. Ziel ist es, einen Kommentar zu schreiben, der frei von persönlichen (ad hominem) Angriffen ist und ein gemeinsames Verständnis beschreibt oder zumindest aufzeigt, wo beide Parteien übereinstimmen und wo nicht. Auf diese Weise wird ein klares Fazit vermittelt und ein zukünftiger Weg aufgezeigt, anstatt die Lesenden zwischen gegensätzlichen Ansichten entscheiden zu lassen, die in separaten Kommentaren dargelegt werden.",** Adversarial collaboration; Collaborative commentary,** Heyman et al. (2020); Rabagliati et al. (2019); Silberzahn et al. (2014),** Steven Verheyen,NA
Affiliation bias (Affiliations-Verzerrung) *,"** This bias occurs when one’s opinions or judgements about the quality of research are influenced by the affiliation of the author(s). When publishing manuscripts, a potential example of an affiliation bias could be when editors prefer to publish work from prestigious institutions (Tvina et al., 2019).",NA,NA,** Christopher Graham; Madeleine Ingham; Adam Parker; Graham Reid,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Diese Art Verzerrung (bias) tritt auf, wenn Meinungen über die Qualität einer Arbeit oder deren Bewertung durch die Affiliation der Autor:innen beeinflusst werden. Ein mögliches Beispiel für Affiliations-Verzerrung bei der Publikation von Manuskripten wäre, wenn Herausgeber:innen beim Publizieren die Arbeiten von Autor:innen besonders angesehener Institutionen bevorzugen würden.",** Peer review,** Tvina et al. (2019),** Mahmoud Elsherif,NA
Aleatoric uncertainty (Aleatorische Unsicherheit) *,"** Variability in outcomes due to unknowable or inherently random factors. The stochastic component of outcome uncertainty that cannot be reduced through additional sources of information. For example, when flipping a coin, uncertainty about whether it will land on heads or tails.",NA,NA,** Nihan Albayrak-Aydemir**;** Brett Gall; Magdalena Grose-Hodge; Bethan Iley; Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Die Variabilität von Ergebnissen aufgrund von unbekannten oder inhärent zufälligen Faktoren. Die stochastische Komponente der Ergebnisunsicherheit, die nicht durch zusätzliche Informationsquellen reduziert werden kann. Ein Beispiel: Beim Werfen einer Münze ist ungewiss, ob sie auf Kopf oder Zahl fällt.",** Epistemic uncertainty; Knightian uncertainty,** Der Kiureghian and Ditlevsen (2009),** Bradley Baker,NA
Altmetrics *,"** Departing from traditional citation measures, altmetrics (short for “alternative metrics”) provide an assessment of the attention and broader impact of research work based on diverse sources such as social media (e.g. Twitter), digital news media, number of preprint downloads, etc. Altmetrics have been criticized in that sensational claims usually receive more attention than serious research (Ali, 2021).",NA,** Mirela Zaneva,** Ali H. Al-Hoorie; Charlotte R. Pennington; Birgit Schmidt; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey  ### ---","Ausgehend von traditionellen Zitationsmetriken bieten Altmetrics (kurz für den englischen Ausdruck ""alternative metrics"") eine Bewertung der Aufmerksamkeit und der breiteren Bedeutung von Forschungsarbeiten auf der Grundlage verschiedener Quellen. Diese Quellen können soziale Medien umfassen (z. B. Twitter/X), digitale Nachrichtenkanäle, die Anzahl der Downloads von Preprints usw. Altmetrics sind dafür kritisiert worden, dass sensationelle Behauptungen in der Regel mehr Aufmerksamkeit erhalten als seriöse Forschung (Ali, 2021).",** Academic impact; Alternative metrics; Bibliometrics; H-index; Impact assessment; Journal impact factor,** Ali (2021); Galligan and Dyas-Correia (2013),NA,NA
AMNESIA *,"** AMNESIA is a free anonymization tool to remove identifying information from data. After uploading a dataset that contains personal data, the original dataset is transformed by the tool, resulting in a dataset that is anonymized regarding personal and sensitive data.",NA,** Norbert Vanek,** Ali H. Al-Hoorie; Myriam A. Baum; Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","AMNESIA ist ein kostenloses Anonymisierungswerkzeug zum Entfernen von persönlich identifizierenden Informationen aus Daten. Nach dem Hochladen eines Datensatzes, der personenbezogene Daten enthält, wird der ursprüngliche Datensatz mithilfe von AMNESIA umgewandelt. Dies führt zu einem Datensatz, der hinsichtlich personenbezogener und sensibler Daten anonymisiert ist.",** Anonymity; Confidentiality; Research ethics,** [https://amnesia.openaire.eu/](https://amnesia.openaire.eu/),NA,NA
