First name,Middle name,Surname,ORCID iD,Project Name,Project URL,Conceptualization,Data curation,Formal analysis,Funding acquisition,Investigation,Methodology,Project administration,Resources,Software,Supervision,Validation,Visualization,Translation,Writing - original draft,Writing - review & editing,Project Managers,Project Coordinators
Max,,Korbmacher,0000-0002-8113-2560,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,True,False,False,False,True,True,True,False,False,True,False,True,,True,True,,
Flavio,,Azevedo,0000-0001-9000-8513,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,True,True,False,False,True,False,True,,False,True,,
Helena,,Hartmann,0000-0002-1331-6683,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Mahmoud,M,Elsherif,0000-0002-0540-3998,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Aoife,,O'Mahony,0000-0002-4585-2149,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Tamara ,,Kalandadze,0000-0003-1061-1131,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Jørgen,Østmo-Sæter,Olsnes,0000-0003-3682-8363,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Charlotte,R. ,Pennington,0000-0002-5259-642X,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
John,J,Shaw,0000-0003-3190-6772,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Madeleine,,Pownall,0000-0002-3734-8006,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Biljana,,Gjoneska,0000-0003-1200-6672,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Yuki,,Yamada,0000-0003-1431-568X,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Jan,Philipp,Röer,0000-0001-7774-3433,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Jennifer,,Murphy,0000-0001-8624-3828,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Shilaan,,Alzahawi,0000-0002-6892-4643,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Bradley,James,Baker,0000-0002-1697-4198,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Sandra,,Grinschgl,0000-0001-6666-9426,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Catia,Margarida,Oliveira,0000-0002-2976-3330,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Tobias,,Wingen,0000-0002-1559-859X,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Siu Kit,,Yeung,0000-0002-5835-0981,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Meng,,Liu,0000-0001-8323-2699,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Rashid,A,Zafir,,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Laura,M,König,0000-0003-3655-8842 ,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Nihan,,Albayrak-Aydemir,0000-0003-3412-4311,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Oscar,,Lecuona,0000-0003-0080-1062,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Ali,H,Al-Hoorie,"0000-0003-3810-5978",Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Thomas ,R,Evans,0000-0002-6670-0718,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,True,False,False,False,False,False,False,,False,True,,
Olly,M.,Robertson,0000-0002-7333-0903,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Leticia,,Micheli,0000-0003-0066-8222,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
